1000 1498
0 1 42
0 2 42
1 3 36
2 1 52
2 4 52
3 5 45
4 3 37
4 6 37
5 7 31
6 5 40
6 8 40
7 9 59
8 7 45
8 10 45
9 11 54
10 9 34
10 12 34
11 13 39
12 11 34
12 14 34
13 15 58
14 13 31
14 16 31
15 17 55
16 15 34
16 18 34
17 19 58
18 17 55
18 20 55
19 21 46
20 19 36
20 22 36
21 23 34
22 21 38
22 24 38
23 25 48
24 23 47
24 26 47
25 27 33
26 25 49
26 28 49
27 29 47
28 27 55
28 30 55
29 31 33
30 29 41
30 32 41
31 33 30
32 31 35
32 34 35
33 35 46
34 33 57
34 36 57
35 37 50
36 35 54
36 38 54
37 39 39
38 37 48
38 40 48
39 41 34
40 39 47
40 42 47
41 43 56
42 41 58
42 44 58
43 45 49
44 43 51
44 46 51
45 47 42
46 45 43
46 48 43
47 49 34
48 47 53
48 50 53
49 51 36
50 49 39
50 52 39
51 53 49
52 51 41
52 54 41
53 55 32
54 53 57
54 56 57
55 57 31
56 55 48
56 58 48
57 59 33
58 57 53
58 60 53
59 61 58
60 59 41
60 62 41
61 63 35
62 61 47
62 64 47
63 65 30
64 63 35
64 66 35
65 67 46
66 65 58
66 68 58
67 69 37
68 67 43
68 70 43
69 71 35
70 69 41
70 72 41
71 73 35
72 71 53
72 74 53
73 75 34
74 73 42
74 76 42
75 77 47
76 75 46
76 78 46
77 79 34
78 77 40
78 80 40
79 81 32
80 79 30
80 82 30
81 83 50
82 81 30
82 84 30
83 85 54
84 83 32
84 86 32
85 87 37
86 85 42
86 88 42
87 89 33
88 87 38
88 90 38
89 91 52
90 89 36
90 92 36
91 93 51
92 91 41
92 94 41
93 95 54
94 93 49
94 96 49
95 97 59
96 95 52
96 98 52
97 99 36
98 97 50
98 100 50
99 101 52
100 99 56
100 102 56
101 103 52
102 101 43
102 104 43
103 105 44
104 103 44
104 106 44
105 107 35
106 105 50
106 108 50
107 109 45
108 107 43
108 110 43
109 111 58
110 109 50
110 112 50
